w3,w4,w5,w6,w7,w8,w9
252.55736238093056,273.9591237118371,2904.040040561757,3000.111390580966,3088.879091158822,3136.517899152859,3163.853398021505
257.21571138066093,274.5192786661313,2905.7028814247346,2998.262023792755,3084.5979112210443,3136.4884794216937,3173.7655959789954
257.5153093680341,276.68007887893464,2908.40769755718,3002.247787002421,3082.372105451333,3135.4024177823026,3164.7736602027717
257.73573509978985,274.88726533721115,2903.099326250332,2996.75604472606,3083.6501056984157,3135.1114605345606,3166.8282526599946
255.35686327276437,274.8895293578018,2901.2043922447697,2996.707565568573,3085.0700946025036,3133.7384533737745,3169.764528960277
257.04865418758146,276.3292143612651,2897.634974478653,2996.6899689850293,3083.6365576011553,3136.226359900718,3168.4421919573533
257.5746836114875,276.9012776599173,2899.7258580609214,2999.315631604248,3081.94982758684,3134.5573887195465,3171.6394392094894
252.61944707039765,273.88579391290176,2908.362326996243,3003.2858147872585,3085.8088623131084,3132.898760308115,3173.0923495291727
255.56834366237135,274.54556578567394,2908.5223605648403,3003.7460253614227,3083.134012565125,3135.584265748846,3167.8917891351193
255.31441938626176,272.4356672876842,2912.73287512817,2995.506997456785,3084.568749165247,3149.61549013676,3169.3130686163636
257.4282126178329,276.7140151241141,2898.3257035834417,2999.181698994288,3083.0767031859145,3137.242597975291,1317.1023736788154
257.56655375653355,276.7089092212161,2897.168671062509,2995.9431376729503,3083.028338668923,3136.9437043548,3160.4794306910144
252.62722587754607,274.0192018109212,2908.9977273476397,2995.416060094239,3086.6336469911125,3141.1535378193607,3162.3121909738966
255.60979467858624,276.4264821884422,2912.9904580702055,3001.6364543943337,3083.476632928773,3131.9638827140225,3164.7025537973323
253.05748981563252,274.30597712385827,2902.89268986154,2999.1369096041294,3081.965474410063,3140.3514594434128,3165.5908827668254
255.354942011229,275.25793237111225,2898.9683835417586,2999.799941493209,3083.015195485355,3142.1050687184056,3168.785395845671
255.505683279569,274.1805150641399,2903.69249430619,2994.8933580660746,3087.600715320926,3137.2479005502328,3166.6557042335644
254.65565738397768,276.0644869422045,2898.9575729250855,2993.013864101535,3083.1286850935535,3143.5831582404676,3171.014875142874
255.1639235727111,274.94202401723095,2901.7794116463383,3000.592482438803,3082.9779705562282,3134.8751438766317,3170.813415076768
254.85664296624486,274.1212995112973,2909.0910131032165,3000.146491412511,3085.494860591084,3143.649320805924,3163.18191791879
255.61533667247835,275.031349754994,2905.2515053962925,3001.4048952503363,3084.629498575947,3141.9596934631772,3171.1585838430046
257.85549427944045,276.43181632642916,2899.5011857500567,2999.5522606942986,3085.1247465252495,3142.9712297068213,3172.235597068927
255.40278124075584,272.77209219519654,2899.524848370042,3002.498314230884,3084.3570084994276,3146.39030850958,1309.871218459689
257.9860883087985,276.7183418769099,2902.765451485198,3004.087511748375,3083.4126987899635,3134.0587435910625,3168.128192983149
252.71112919403313,272.2247729501718,2901.989379417641,2993.025170832019,3086.2597038386184,3142.9920337224094,3166.94997243504
252.61670137395402,274.01368150202654,2901.807453140167,2997.999017111857,3088.2470067393233,3134.766654286949,3164.4501883615744
252.96520924430905,274.2034640258086,2896.2060196608977,3002.361936809377,3086.366184347936,3132.8360641249383,3172.3208643083735
250.7798802001378,272.1234291180305,2910.769901049426,2994.067436173875,3087.318709547214,3146.4561617417453,3172.1987047553134
257.724866881676,276.49901329921084,2897.3190050142953,2997.961361997973,3083.8671529561966,3140.505146682023,3168.929269133237
255.884834065923,274.5634485741994,2903.671580177088,3000.9026275788833,3084.780856131375,3143.8082666655328,3174.3332998691694
250.63781579966326,272.0527598914005,2905.1734310969687,2995.1707572922205,3088.697793384603,3144.3823493885193,3178.6902202916044
255.83447715427818,275.6906222815586,2911.060550477535,2999.3330348775085,3085.263265447521,3143.975849820853,3166.275938142123
253.37844289719547,272.6744709618949,2899.121752097414,2997.50266973827,3086.0318542695773,3141.530658337982,3175.712016754068
257.7591155252705,276.5051686423487,2898.44781921519,2995.1193225525603,3087.683215165423,3145.4766059440385,3172.65850546325
256.05982234233375,274.6745695227565,2905.3990687530377,2994.367178609365,3085.838099526136,3139.377795697609,3168.9559103589104
255.48545675955265,274.7211073726178,2914.3737407130347,2999.783232384353,3083.5901602360364,3144.0529255030333,3167.707076787515
257.66983010657805,275.1106510440435,2906.084022844497,2999.7326531048457,3084.5784857302115,3138.5695510479213,3171.2454920688974
257.64113643299265,276.7123083695081,2903.309924866315,2997.9894894323133,3083.6924485467275,3140.359032753208,3166.730997462767
252.88622284019772,274.16572166429887,2900.2738625232096,2994.394122558208,3084.793809806003,3132.171404919635,3163.9777187471336
255.02370124986504,274.1551489236216,2899.097274205409,3005.374783114548,3088.0763846923805,3134.77923033225,3168.0369920461753
255.1336582068672,275.0959714284701,2900.099573469057,2996.963744388956,3084.9703115564116,3130.434096943783,3172.910529743915
252.46947276560428,273.9992755999578,2911.752775559681,2993.360428845092,3088.539061815673,3138.856944461376,3172.206262626023
255.55817997259913,275.14155142331003,2902.2223532557437,3000.5656209643967,3085.811621715548,3137.1177538543384,3168.7822569992613
258.1658989826467,276.65020228172034,2913.0732432332984,3003.4989235648636,3083.0445752517976,3133.286414074158,3169.7917508879436
257.14642614161085,276.9421674993149,2901.1719864919755,2995.9396336554973,3082.4449439724876,3140.3812077062807,3166.5477682415235
255.680919276686,274.899846349572,2898.9139637953717,2997.6426440782843,3088.138345872363,3136.8213917445237,3172.2926365378457
255.40078278633376,274.3783201283992,2905.6840058034836,2995.9922767150965,3085.9181493266606,3136.9955874599477,3167.651171885785
